"Plant_id","Plant_sp","Cover_con","Cover_het"
"419","CLIB",0,0.53125
"42","ROFF",0,0.25
"420","CLIB",0,0.5625
"421","CLIB",0,0.625
"422","CLIB",0,0.34375
"423","CLIB",0,0.71875
"424","CLIB",0,0.65625
"425","CLIB",0,0.375
"426","CLIB",0,0.84375
"427","CLIB",0.03125,0.4375
"428","CLIB",0,0.40625
"429","CLIB",0.03125,0.3125
"43","ROFF",0,0.25
"430","CLIB",0.03125,0.5625
"431","CLIB",0,0.65625
"432","CLIB",0,0.125
"433","CLIB",0,0.25
"434","CLIB",0.03125,0.375
"435","CLIB",0,1
"436","AVEL",0,0.59375
"437","AVEL",0,0.6875
"438","AVEL",0,0.46875
"439","AVEL",0,0.3125
"44","ROFF",0.1875,0.375
"440","AVEL",0,0.6875
"441","AVEL",0,0.375
"442","AVEL",0.0625,0.65625
"443","AVEL",0.0625,0.5625
"444","AVEL",0.03125,0.5
"445","AVEL",0.03125,0.71875
"446","AVEL",0.03125,0.6875
"447","AVEL",0.03125,0.6875
"448","AVEL",0,0.71875
"449","AVEL",0.03125,0.28125
"45","ROFF",0.5625,0.3125
"450","AVEL",0.03125,0.5
"451","AVEL",0.03125,0.28125
"452","AVEL",0.09375,0.375
"453","AVEL",0.0625,0.625
"454","AVEL",0.09375,0.46875
"455","AVEL",0.09375,0.53125
"456","AVEL",0.03125,0.625
"457","AVEL",0,0.375
"458","AVEL",0,0.5
"459","AVEL",0,0.59375
"46","ROFF",0.03125,0.25
"460","AVEL",0.0625,0.5625
"461","AVEL",0.03125,0.6875
"462","AVEL",0,0.625
"463","AVEL",0.09375,0.6875
"464","AVEL",0.03125,0.59375
"465","AVEL",0,0.59375
"466","AVEL",0,0.625
"467","AVEL",0,0.46875
"468","AVEL",0.0625,0.71875
"469","CLIB",0,0.375
"47","ROFF",0,0.4375
"470","CLIB",0,0.71875
"471","HHAL",0.03125,0.53125
"472","HHAL",0,0.78125
"473","HHAL",0,0.5625
"474","HHAL",0.03125,0.34375
"475","HHAL",0,0.375
"476","HHAL",0.09375,0.53125
"477","HHAL",0,0.75
"478","HHAL",0.125,0.375
"479","HHAL",0.1875,0.71875
"48","ROFF",0.15625,0.5
"480","HHAL",0.09375,0.625
"481","HHAL",0,0.59375
"482","HHAL",0.25,0.59375
"483","HHAL",0,0.75
"484","HHAL",0.125,0.8125
"485","HHAL",0,0.375
"486","HHAL",0,0.3125
"487","HHAL",0.03125,0.25
"488","HHAL",0.0625,0.46875
"489","HHAL",0.09375,0.65625
"49","ROFF",0.03125,0.5
"490","HHAL",0,0.5625
"491","HHAL",0,0.71875
"492","HHAL",0.125,0.6875
"493","HHAL",0.09375,0.625
"494","HHAL",0.34375,0.375
"495","HHAL",0.03125,0.46875
"496","HHAL",0,0.6875
"497","HHAL",0,0.59375
"498","HHAL",0.09375,0.53125
"499","HHAL",0,0.4375
"5","UPAR",0.15625,0.3125
"50","ROFF",0,0.09375
"500","HHAL",0,0.8125
"501","HHAL",0.03125,0.53125
"502","HHAL",0,0.5625
"503","HHAL",0.125,0.40625
"504","HHAL",0.03125,0.625
"505","HHAL",0.09375,0.875
"506","HHAL",0,0.5
"507","HHAL",0.03125,0.71875
"508","HHAL",0.03125,0.5625
"509","HHAL",0.125,0.6875
"51","ROFF",0,0.5625
"510","HHAL",0.09375,0.8125
"511","HHAL",0.15625,0.5
"512","HHAL",0.09375,0.53125
"513","HHAL",0.1875,0.53125
"514","HHAL",0.09375,0.375
"515","HHAL",0,0.71875
"516","HHAL",0.03125,0.375
"517","HHAL",0.03125,0.25
"518","HHAL",0.03125,0.71875
"519","HHAL",0,0.1875
"52","ROFF",0.09375,0.5
"520","HHAL",0.03125,0.4375
"521","HHAL",0.03125,0.46875
"522","HHAL",0.15625,0.34375
"523","HHAL",0,0.25
"524","HHAL",0.03125,0.28125
"525","HHAL",0,0.125
"526","HHAL",0.09375,0.40625
"527","HHAL",0,0.28125
"528","HHAL",0,0.59375
"529","HHAL",0,0.375
"53","ROFF",0.1875,0.40625
"530","HHAL",0.09375,0.84375
"531","HHAL",0,0.34375
"532","HHAL",0.03125,0.28125
"533","HHAL",0.03125,0.65625
"534","HHAL",0,0.53125
"535","HHAL",0.21875,0.4375
"536","HHAL",0.0625,0.75
"537","HHAL",0,0.625
"538","HHAL",0,0.59375
"539","HHAL",0.03125,0.5
"54","ROFF",0.0625,0.375
"540","HHAL",0.1875,0.59375
"541","HHAL",0,0.34375
"542","HHAL",0.03125,0.3125
"543","HHAL",0.09375,0.40625
"544","HHAL",0.09375,0.34375
"545","HHAL",0,0.5625
"546","HHAL",0,0.6875
"547","HHAL",0,0.34375
"548","HHAL",0,0.625
"549","HHAL",0.15625,0.21875
"55","ROFF",0.34375,0.375
"550","HHAL",0,0.34375
"551","HHAL",0,0.1875
"552","HHAL",0,0.03125
"553","HHAL",0.03125,0.59375
"554","HHAL",0,0.59375
"555","HHAL",0,0.65625
"556","HHAL",0.1875,0.375
"557","HHAL",0,0.375
"558","HHAL",0.15625,0.0625
