"Plant_id","Plant_sp","sync_index_het","sync_index_con"
"261","LPED",0.272664048437244,0.996384479717813
"262","LPED",0.266044461536186,0.993304638928742
"263","LPED",0.2535801676762,0.996238651102464
"264","LPED",0.261665762344004,1
"265","LPED",0.262259955528603,0.997385620915033
"266","LPED",0.263780466003218,0.989788053949904
"267","LPED",0.253422448163297,0.998748435544431
"268","LPED",0.267297532953788,0.99485903814262
"269","LPED",0.282573593342442,0.986345381526104
"27","ROFF",0.285524082917425,0.870319989635963
"270","LPED",0.325341644689523,0.955038759689922
"271","LPED",0.275932929251066,0.993523171412619
"272","LPED",0.278350515463918,0.988571428571429
"273","LPED",0.269616891009769,0.997962154294032
"274","LPED",0.268110894399554,0.998198198198198
"275","LPED",0.284632314285969,0.987381158167675
"276","LPED",0.378432654586213,0.633018867924528
"277","LPED",0.381612446958982,0.963809523809524
"278","LPED",0.366930693069307,0.87
"279","LPED",0.362646264626463,0.949090909090909
"28","ROFF",0.297187069700348,0.92317880794702
"280","LPED",0.403917811135952,0.997491039426523
"281","LPED",0.392295532074216,0.991036414565826
"282","LPED",0.389573651242675,0.942176870748299
"283","LPED",0.370797519312371,0.927472527472527
"284","LPED",0.365735706518629,0.885163776493256
"285","LPED",0.35973597359736,0.854666666666667
"286","LPED",0.38924012883216,0.976706827309237
"287","LPED",0.382026297867882,0.903703703703704
"288","LPED",0.364801186000953,0.881283422459893
"289","LPED",0.372286982392821,0.886371100164204
"29","ROFF",0.290433875012684,0.936310395314788
"290","LPED",0.389866045428072,0.968627450980392
"291","LPED",0.338760226301437,0.891532690246517
"292","LPED",0.366011311607864,0.907801418439716
"293","LPED",0.288520296813619,0.866666666666667
"294","LPED",0.343856438411875,0.896117804551539
"295","LPED",0.427215189873418,0.814912280701754
"296","LPED",0.41948778333824,0.947286821705426
"297","LPED",0.381098685019049,0.948220064724919
"298","LPED",0.353609939052977,0.97283950617284
"299","LPED",0.393118202888215,0.866666666666667
"3","UPAR",0.155745231437038,0.908232118758435
"30","ROFF",0.250231365866557,0.787091988130564
"300","LPED",0.400206064174271,0.968217054263566
"301","LPED",0.329722492697176,0.975
"302","LPED",0.375577066269546,0.966274509803922
"303","LPED",0.395084542178694,0.873479318734793
"304","LPED",0.366910322695668,0.906103286384977
"305","LPED",0.41235136171845,0.863636363636364
"306","LPED",0.314271255060729,0.971052631578947
"307","LPED",0.317358567358567,0.967857142857143
"308","LPED",0.31690408357075,0.974444444444444
"309","LPED",0.317337294667269,0.978001679261125
"31","ROFF",0.17619226094213,0.816151371394296
"310","LPED",0.309311740890688,0.957894736842105
"311","LPED",0.306390445463293,0.985871964679912
"312","LPED",0.308826507878641,0.978199052132701
"313","LPED",0.310070700159645,0.971791613722999
"314","LPED",0.315843097300051,0.975717439293598
"315","LPED",0.318756585879874,0.975342465753425
"316","LPED",0.310528869480835,0.981950509461426
"317","LPED",0.301698650755255,0.977987421383648
"318","LPED",0.307965811965812,0.992266666666667
"319","LPED",0.285533396644508,0.945679012345679
"32","ROFF",0.361745224614423,0.936625514403292
"320","LPED",0.296932621805718,0.97834179357022
"321","LPED",0.390955303452979,0.985159010600707
"322","LPED",0.389045131913754,0.997582697201018
"323","LPED",0.365773357277709,0.994575678040245
"324","LPED",0.412640207075065,0.998907103825137
"325","LPED",0.361015024923279,0.991102123356926
"326","LPED",0.372873270790269,0.993554884189325
"327","LPED",0.369007625446595,0.988855116514691
"328","LPED",0.377952091767881,0.988034188034188
"329","LPED",0.376291195277914,0.994184839044652
